Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Gls/90,Ast/90,xG/90,xAG/90
Javi Hernández,ESP,Defender (DF),Leganés,26,31,2389,2,1,6,0,"0,8","1,5","0,08","0,04","0,03","0,06"
Aridane Hernández,ESP,Defender (DF),Rayo Vallecano,35,14,1025,0,0,1,0,"0,9",0,0,0,"0,08",0
Jorge Herrando,ESP,Defender (DF),Osasuna,23,18,1366,1,0,3,0,"1,2",0,"0,07",0,"0,08",0
Ander Herrera,ESP,Midfielder (MF),Athletic Club,34,8,273,0,0,2,0,"1,7","0,1",0,0,"0,57","0,04"
Sergio Herrera,ESP,Goalkeeper (GK),Osasuna,31,37,3330,0,0,5,0,0,0,0,0,0,0
Yangel Herrera,VEN,Midfielder (MF),Girona,26,29,2257,4,3,10,1,"3,6","1,5","0,16","0,12","0,14","0,06"
Juan Herzog,ESP,Defender (DF),Las Palmas,21,19,1315,0,0,1,0,"0,9",0,0,0,"0,06",0
Omar El Hilali,MAR,Defender (DF),Espanyol,20,36,3153,0,2,11,0,0,"0,8",0,"0,06",0,"0,02"
Roger Hinojo,ESP,Defender (DF),Espanyol,19,1,9,0,0,0,0,0,0,0,0,0,0
Dinko Horkaš,CRO,Goalkeeper (GK),Las Palmas,25,13,1085,0,0,1,0,0,0,0,0,0,0
Pablo Ibáñez,ESP,Midfielder (MF),Osasuna,25,28,1294,1,1,4,0,"1,6","1,6","0,07","0,07","0,11","0,11"
Stanis Idumbo,BEL,Forward (FW),Sevilla,19,14,284,1,1,0,0,"0,6","0,7","0,32","0,32","0,2","0,23"
Iglesias,ESP,Defender (DF),Getafe,26,37,2888,0,1,4,0,"1,6","2,2",0,"0,03","0,05","0,07"
Borja Iglesias,ESP,Forward (FW),Celta Vigo,31,37,1952,11,3,2,0,"9,3","3,2","0,51","0,14","0,43","0,15"
Kelechi Iheanacho,NGA,Forward (FW),Sevilla,27,9,400,0,0,0,0,"1,5","0,3",0,0,"0,33","0,07"
Isco,ESP,Midfielder (MF),Betis,32,22,1547,9,8,5,0,"8,6","4,4","0,52","0,47","0,5","0,25"
Diego Iturralde,ESP,Forward (FW),Sevilla,21,1,37,0,0,0,0,"0,1",0,0,0,"0,21",0
Ivan Jaime Pajuelo,ESP,Midfielder (MF),Valencia,23,9,297,0,0,0,0,"0,6","0,3",0,0,"0,19","0,1"
Karl Jakob Hein,EST,Goalkeeper (GK),Valladolid,22,31,2790,0,0,0,0,0,0,0,0,0,0
Adnan Januzaj,BEL,Midfielder (MF),Las Palmas,29,18,598,2,1,5,0,"0,8","1,1","0,3","0,15","0,13","0,16"
Mikel Jauregizar,ESP,Midfielder (MF),Athletic Club,20,34,2244,2,1,4,1,"1,1","1,4","0,08","0,04","0,04","0,06"
John Joe,IRL,Midfielder (MF),Getafe,20,4,48,0,0,1,0,"0,1",0,0,0,"0,26",0
Jofre,ESP,Midfielder (MF),Espanyol,23,37,2165,3,3,5,0,"2,5","2,5","0,12","0,12","0,11","0,1"
Frenkie de Jong,NED,Midfielder (MF),Barcelona,27,26,1143,2,2,3,0,"0,7",2,"0,16","0,16","0,05","0,16"
Joan Jordán,ESP,Midfielder (MF),Alavés,30,25,1414,5,2,4,0,"4,8","2,3","0,32","0,13","0,3","0,15"
Juanmi,ESP,Forward (FW),Getafe,31,13,696,0,0,2,0,"2,9","0,3",0,0,"0,37","0,04"
Juanmi,ESP,Forward (FW),Betis,31,11,244,0,0,2,0,"0,7","0,4",0,0,"0,25","0,14"
Juanpe,ESP,Defender (DF),Girona,33,12,727,0,0,2,0,"0,1","0,2",0,0,"0,01","0,02"
Luiz Lúcio Reis Júnior,BRA,Goalkeeper (GK),Villarreal,23,17,1458,0,0,2,0,0,0,0,0,0,0
Vinicius Júnior,BRA,Forward (FW),Real Madrid,24,30,2253,11,8,8,1,"10,4",8,"0,44","0,32","0,41","0,32"
Stanko Jurić,CRO,Midfielder (MF),Valladolid,27,26,1729,0,0,7,1,"0,8","0,5",0,0,"0,04","0,02"
Willy Kambwala,FRA,Defender (DF),Villarreal,19,19,1117,0,0,1,1,"0,3","0,1",0,0,"0,03","0,01"
Abdoulaye Keita,ESP,Forward (FW),Getafe,21,3,95,0,0,0,0,0,0,0,0,"0,05",0
Kenedy,BRA,Midfielder (MF),Valladolid,28,2,9,0,0,0,0,0,0,0,0,"0,29",0
Kiké,ESP,Forward (FW),Alavés,34,35,2542,13,0,5,1,"9,6","0,9","0,46",0,"0,34","0,03"
Koke,ESP,Midfielder (MF),Atlético Madrid,32,32,1926,1,1,4,0,"1,1","1,4","0,05","0,05","0,05","0,07"
Jules Koundé,FRA,Defender (DF),Barcelona,25,32,2605,2,3,4,0,"1,8","3,9","0,07","0,1","0,06","0,13"
Alex Král,CZE,Midfielder (MF),Espanyol,26,37,2714,0,1,1,0,"1,5","1,5",0,"0,03","0,05","0,05"
Ladislav Krejčí,CZE,Defender (DF),Girona,25,28,2440,2,0,9,0,"1,7","0,3","0,07",0,"0,06","0,01"
Takefusa Kubo,JPN,Midfielder (MF),Real Sociedad,23,36,2372,5,0,5,0,"3,6","4,5","0,19",0,"0,14","0,17"
Marash Kumbulla,ALB,Defender (DF),Espanyol,24,35,2972,3,0,9,0,"1,8",0,"0,09",0,"0,05",0
Luca de la Torre,USA,Midfielder (MF),Celta Vigo,26,1,4,0,0,0,0,0,0,0,0,0,0
Yoel Lago,ESP,Defender (DF),Celta Vigo,20,8,583,0,1,2,0,0,"0,1",0,"0,15",0,"0,02"
Cyle Larin,CAN,Forward (FW),Mallorca,29,32,1764,7,2,4,0,"6,9","1,4","0,36","0,1","0,35","0,07"
Juanmi Latasa,ESP,Forward (FW),Valladolid,23,28,1398,3,0,6,1,"4,2","0,9","0,19",0,"0,27","0,06"
Toni Lato,ESP,Defender (DF),Mallorca,26,14,621,0,0,1,1,0,"0,4",0,0,0,"0,06"
Robin Le Normand,ESP,Defender (DF),Atlético Madrid,27,27,2151,1,0,8,0,"1,5","0,5","0,04",0,"0,06","0,02"
Florian Lejeune,FRA,Defender (DF),Rayo Vallecano,33,37,3325,2,3,8,0,"3,6","1,9","0,05","0,08","0,1","0,05"
Iñigo Lekue,ESP,Defender (DF),Athletic Club,31,16,773,0,0,1,0,"0,2","0,5",0,0,"0,02","0,06"
Thomas Lemar,FRA,Midfielder (MF),Atlético Madrid,28,5,85,0,0,0,0,"0,3","0,2",0,0,"0,3","0,2"
Clément Lenglet,FRA,Defender (DF),Atlético Madrid,29,23,1972,2,1,9,0,"2,4","1,1","0,09","0,05","0,11","0,05"
Robert Lewandowski,POL,Forward (FW),Barcelona,35,34,2667,27,2,1,0,"27,1","2,3","0,91","0,07","0,92","0,08"
Samuel Lino,BRA,Midfielder (MF),Atlético Madrid,24,31,1552,3,4,3,0,6,"2,9","0,17","0,23","0,35","0,17"
Javier Llabrés,ESP,Forward (FW),Mallorca,21,1,57,0,0,0,0,0,"0,1",0,0,"0,08","0,14"
Diego Llorente,ESP,Defender (DF),Betis,30,30,2519,2,0,4,0,"1,5","0,3","0,07",0,"0,05","0,01"
Marcos Llorente,ESP,Defender (DF),Atlético Madrid,29,33,2513,2,4,0,1,"0,8","4,3","0,07","0,14","0,03","0,16"
Giovani Lo Celso,ARG,Midfielder (MF),Betis,28,25,1457,8,3,4,0,"4,8","4,9","0,49","0,19","0,29","0,3"
Enzo Loiodice,FRA,Midfielder (MF),Las Palmas,23,17,684,0,0,3,0,"0,3","0,2",0,0,"0,04","0,02"
David López,ESP,Defender (DF),Mallorca,21,2,169,0,0,0,0,0,0,0,0,0,0
David López,ESP,Defender (DF),Girona,34,29,2429,1,1,4,0,"0,9","0,6","0,04","0,04","0,03","0,02"
Diego López,ESP,Midfielder (MF),Valencia,22,38,2737,8,5,3,0,"6,6",5,"0,26","0,16","0,22","0,17"
Fer López,ESP,Forward (FW),Celta Vigo,21,17,671,2,0,2,0,"2,7","1,9","0,27",0,"0,37","0,25"
Fermin López,ESP,Midfielder (MF),Barcelona,21,28,1252,6,5,4,1,"5,6","3,9","0,43","0,36","0,41","0,28"
Javi López,ESP,Defender (DF),Real Sociedad,22,29,1936,0,0,4,0,"0,1","0,4",0,0,"0,01","0,02"
Pau López,ESP,Goalkeeper (GK),Girona,29,1,45,0,0,0,0,0,0,0,0,0,0
Roberto López,ESP,Midfielder (MF),Leganés,24,13,396,0,1,0,0,"0,5","0,9",0,"0,23","0,11","0,2"
Unai López,ESP,Midfielder (MF),Rayo Vallecano,28,32,1707,3,1,9,1,"1,6",1,"0,16","0,05","0,08","0,05"
Iker Losada,ESP,Forward (FW),Celta Vigo,22,12,358,1,0,2,0,"1,1","0,3","0,25",0,"0,29","0,09"
Iker Losada,ESP,Forward (FW),Betis,22,10,336,0,0,0,0,"0,5","0,3",0,0,"0,13","0,08"
Pol Lozano,ESP,Midfielder (MF),Espanyol,24,30,1943,0,1,12,0,"0,2","0,8",0,"0,05","0,01","0,04"
José Luis Gayà,ESP,Defender (DF),Valencia,29,23,1803,0,1,7,0,1,"2,6",0,"0,05","0,05","0,13"
Dodi Lukebakio,BEL,Forward (FW),Sevilla,26,38,3092,11,2,3,1,"10,1","4,5","0,32","0,06","0,29","0,13"
Daniel Luna,COL,Midfielder (MF),Mallorca,21,2,20,0,0,0,0,0,0,0,0,0,0
Andriy Lunin,UKR,Goalkeeper (GK),Real Madrid,25,7,630,0,1,0,0,0,"0,9",0,"0,14",0,"0,13"
Darwin Machís,VEN,Midfielder (MF),Valladolid,31,18,639,0,1,0,0,"0,9","0,5",0,"0,14","0,12","0,07"
Pablo Maffeo,ESP,Defender (DF),Mallorca,27,30,2368,0,2,7,0,"0,3","4,1",0,"0,08","0,01","0,16"
Jon Magunazelaia,ESP,Midfielder (MF),Real Sociedad,23,2,7,0,0,0,0,0,0,0,0,0,0
Giorgi Mamardashvili,GEO,Goalkeeper (GK),Valencia,23,34,3060,0,0,2,0,0,"0,1",0,0,0,0
Reinildo Mandava,MOZ,Defender (DF),Atlético Madrid,30,19,941,0,0,4,0,"0,1","0,1",0,0,"0,01","0,01"
Javier Manquillo,ESP,Defender (DF),Celta Vigo,30,10,515,0,0,1,0,0,0,0,0,0,0
Marcão,BRA,Defender (DF),Sevilla,28,12,552,0,0,6,1,0,0,0,0,0,0
Óscar de Marcos,ESP,Defender (DF),Athletic Club,35,26,1564,0,4,0,0,1,"2,6",0,"0,23","0,06","0,15"
Alberto Marí,ESP,Forward (FW),Valencia,23,1,7,0,0,0,0,0,0,0,0,0,0
José María Giménez,URU,Defender (DF),Atlético Madrid,29,27,1999,0,1,5,0,"0,4","0,2",0,"0,05","0,02","0,01"
Arkaitz Mariezkurrena,ESP,Forward (FW),Real Sociedad,19,9,241,2,0,1,0,1,"0,1","0,75",0,"0,36","0,06"
Pablo Marín,ESP,Midfielder (MF),Real Sociedad,21,23,1239,1,2,3,0,"1,4",1,"0,07","0,15","0,1","0,07"
Mika Mármol,ESP,Defender (DF),Las Palmas,23,30,2399,0,1,5,0,"0,4","1,5",0,"0,04","0,02","0,06"
Mario Maroto,ESP,Midfielder (MF),Valladolid,20,2,64,0,1,0,0,0,"0,1",0,"1,41","0,02","0,09"
Unai Marrero,ESP,Goalkeeper (GK),Real Sociedad,22,2,180,0,0,0,0,0,0,0,0,0,0
Carlos Martín,ESP,Forward (FW),Alavés,22,26,1333,2,2,3,0,"2,3","2,7","0,14","0,14","0,15","0,19"
Diego Martín,ESP,Forward (FW),Las Palmas,20,2,40,0,0,0,0,0,0,0,0,"0,08",0
Gerard Martín,ESP,Defender (DF),Barcelona,22,28,1038,1,3,2,0,"0,5","1,1","0,09","0,26","0,04","0,1"
Iván Martín,ESP,Midfielder (MF),Girona,25,32,2039,1,1,1,0,"1,8","1,9","0,04","0,04","0,08","0,08"
Jon Martin,ESP,Defender (DF),Real Sociedad,18,13,904,0,1,2,0,"0,6","0,2",0,"0,1","0,06","0,02"
Mario Martín,ESP,Midfielder (MF),Valladolid,20,30,1748,0,1,8,3,"1,8","1,4",0,"0,05","0,09","0,07"
Arnau Martinez,ESP,Defender (DF),Girona,21,32,2624,2,2,3,0,"1,2","2,2","0,07","0,07","0,04","0,08"
Iñigo Martínez,ESP,Defender (DF),Barcelona,33,28,2490,0,4,5,0,"0,5","2,6",0,"0,14","0,02","0,1"
Javi Martínez,ESP,Midfielder (MF),Osasuna,24,1,6,0,0,0,0,0,0,0,0,0,0
Ramón Martínez,ESP,Defender (DF),Sevilla,21,5,261,1,0,0,0,"0,3","0,1","0,34",0,"0,12","0,02"
Toni Martínez,ESP,Forward (FW),Alavés,27,28,1012,4,0,1,0,"3,6","0,6","0,36",0,"0,32","0,05"
Javi Martón,ESP,Forward (FW),Athletic Club,25,3,53,0,0,1,0,0,0,0,0,0,0
Marvin,ESP,Defender (DF),Las Palmas,24,23,1038,0,0,4,0,"0,2","1,1",0,0,"0,02","0,1"
Omar Mascarell,EQG,Midfielder (MF),Mallorca,31,32,1992,1,0,5,1,"0,5","0,2","0,05",0,"0,02","0,01"
Jaime Mata,ESP,Forward (FW),Las Palmas,35,30,656,0,0,9,0,"2,6","0,1",0,0,"0,36","0,02"
Borja Mayoral,ESP,Forward (FW),Getafe,27,24,1114,5,1,0,0,"3,4","0,9","0,4","0,08","0,28","0,07"
Kylian Mbappé,FRA,Forward (FW),Real Madrid,25,34,2907,31,3,3,1,"25,9","7,7","0,96","0,09","0,8","0,24"
Oliver McBurnie,SCO,Forward (FW),Las Palmas,28,34,1837,3,6,3,0,"4,8","2,8","0,15","0,29","0,24","0,14"
Scott McKenna,SCO,Defender (DF),Las Palmas,27,29,2466,0,0,5,1,"1,1","0,7",0,0,"0,04","0,03"
Mateo Mejía,ESP,Forward (FW),Sevilla,21,1,11,0,0,0,0,0,0,0,0,0,0
Arthur Melo,BRA,Midfielder (MF),Girona,27,15,941,0,0,2,0,"0,2","0,2",0,0,"0,02","0,02"
Brais Méndez,ESP,Midfielder (MF),Real Sociedad,27,27,1531,3,2,4,0,"3,5",2,"0,18","0,12","0,21","0,12"
Ferland Mendy,FRA,Defender (DF),Real Madrid,29,14,1005,0,1,1,1,0,"0,5",0,"0,09",0,"0,05"
Nobel Mendy,FRA,Defender (DF),Betis,19,2,108,0,0,1,0,0,0,0,0,0,0
Víctor Meseguer,ESP,Midfielder (MF),Valladolid,25,14,418,0,0,1,0,"0,7",0,0,0,"0,15","0,01"
Miguel,ESP,Forward (FW),Leganés,24,34,1724,1,3,3,0,"4,9","1,4","0,05","0,16","0,26","0,07"
Éder Militão,BRA,Defender (DF),Real Madrid,26,12,938,1,1,2,0,"0,6","0,5","0,1","0,1","0,06","0,05"
Luis Milla,ESP,Midfielder (MF),Getafe,29,33,2875,1,4,6,0,"1,8","3,9","0,03","0,13","0,06","0,12"
Pere Milla,ESP,Midfielder (MF),Espanyol,31,20,456,3,0,3,0,"1,5","0,3","0,59",0,"0,29","0,06"
Óscar Mingueza,ESP,Midfielder (MF),Celta Vigo,25,34,2729,4,6,6,1,"1,5","5,6","0,13","0,2","0,05","0,19"
Kim Minsu,KOR,Midfielder (MF),Girona,18,3,22,0,0,0,0,0,0,0,0,0,0
Bojan Miovski,MKD,Forward (FW),Girona,25,17,869,2,1,0,0,"2,7","0,2","0,21","0,1","0,28","0,02"
Rafa Mir,ESP,Forward (FW),Valencia,27,20,753,1,2,4,0,3,"0,7","0,12","0,24","0,36","0,09"
Luka Modrić,CRO,Midfielder (MF),Real Madrid,38,35,1827,2,6,7,0,"1,6",7,"0,1","0,3","0,08","0,34"
Johan Mojica,COL,Defender (DF),Mallorca,31,36,2755,1,2,5,0,"0,9","4,1","0,03","0,07","0,03","0,13"
Alberto Moleiro,ESP,Forward (FW),Las Palmas,20,35,2714,6,1,5,0,"5,6","3,3","0,2","0,03","0,19","0,11"
Nahuel Molina,ARG,Defender (DF),Atlético Madrid,26,30,1590,0,3,1,0,"0,8","1,5",0,"0,17","0,05","0,08"
Jon Moncayola,ESP,Midfielder (MF),Osasuna,26,32,2099,0,0,8,0,"1,6","3,7",0,0,"0,07","0,16"
Gonzalo Montiel,ARG,Defender (DF),Sevilla,27,6,113,0,0,1,0,0,0,0,0,"0,02",0
Gerard Moreno,ESP,Forward (FW),Villarreal,32,17,721,3,2,0,0,"4,2","3,6","0,37","0,25","0,53","0,45"
Xavier Moreno,ESP,Forward (FW),Valladolid,19,1,45,0,0,0,0,0,0,0,0,0,0
Mateu Morey,ESP,Defender (DF),Mallorca,24,16,741,0,0,1,0,"0,4","0,3",0,0,"0,05","0,03"
Ilaix Moriba,GUI,Midfielder (MF),Celta Vigo,21,33,2132,1,1,9,1,"1,7","1,5","0,04","0,04","0,07","0,06"
Manu Morlanes,ESP,Midfielder (MF),Mallorca,25,23,1338,0,0,7,0,"0,6","0,3",0,0,"0,04","0,02"
Raúl Moro,ESP,Midfielder (MF),Valladolid,21,33,2341,4,5,2,0,"4,1","5,7","0,15","0,19","0,16","0,22"
Cristhian Mosquera,ESP,Defender (DF),Valencia,20,37,3319,1,0,6,0,"0,4",0,"0,03",0,"0,01",0
Santiago Mouriño,URU,Defender (DF),Alavés,22,25,1849,0,1,7,0,"0,9","0,9",0,"0,05","0,05","0,04"
Abdul Mumin,GHA,Defender (DF),Rayo Vallecano,26,24,2017,2,1,6,1,"0,6","0,2","0,09","0,04","0,03","0,01"
Aihen Muñoz,ESP,Defender (DF),Real Sociedad,26,21,1098,0,0,5,0,"0,2","0,3",0,0,"0,01","0,02"
Álex Muñoz,ESP,Defender (DF),Las Palmas,30,21,1415,3,0,3,0,"0,9","0,5","0,19",0,"0,05","0,03"
Iker Muñoz,ESP,Midfielder (MF),Osasuna,21,23,610,0,1,2,0,"0,5",1,0,"0,15","0,07","0,14"
Javier Muñoz,ESP,Midfielder (MF),Las Palmas,29,35,2588,1,3,5,0,"1,3","2,5","0,03","0,1","0,04","0,09"
Víctor Muñoz,ESP,Forward (FW),Real Madrid,21,2,36,0,0,0,0,"0,5",0,0,0,"1,23",0
Vedat Muriqi,KVX,Forward (FW),Mallorca,30,29,2058,7,2,1,2,"9,7","2,2","0,31","0,09","0,42","0,1"
Juan Musso,ARG,Goalkeeper (GK),Atlético Madrid,30,2,180,0,0,0,0,0,0,0,0,0,0
Matija Nastasić,SRB,Defender (DF),Leganés,31,26,2110,1,0,3,0,"0,1","0,1","0,04",0,0,"0,01"
Natan,BRA,Defender (DF),Betis,23,31,2175,1,1,5,1,"0,3","0,6","0,04","0,04","0,01","0,03"
Pau Navarro,ESP,Defender (DF),Villarreal,19,17,916,0,0,1,0,0,0,0,0,0,0
Roberto Navarro,ESP,Midfielder (MF),Mallorca,22,23,1278,1,0,3,0,2,"1,9","0,07",0,"0,14","0,14"
Jesús Navas,ESP,Forward (FW),Sevilla,38,15,424,1,0,0,0,"0,5","0,5","0,21",0,"0,11","0,11"
Yvan Neyou,CMR,Midfielder (MF),Leganés,27,30,2312,1,1,14,0,"0,6","0,6","0,04","0,04","0,03","0,03"
Tanguy Nianzou,FRA,Defender (DF),Sevilla,22,6,518,0,0,3,1,"0,2",0,0,0,"0,03",0
Saúl Ñíguez,ESP,Midfielder (MF),Sevilla,29,24,1553,1,6,8,1,"2,8","2,5","0,06","0,35","0,16","0,14"
Tamás Nikitscher,HUN,Midfielder (MF),Valladolid,24,13,858,0,0,2,0,"0,1",0,0,0,"0,01",0
Adrian Niño,ESP,Forward (FW),Atlético Madrid,20,1,12,0,0,0,0,"0,2",0,0,0,"1,44",0
Hugo Novoa,ESP,Defender (DF),Alavés,21,5,237,0,0,0,0,"0,5","0,2",0,0,"0,18","0,07"
Randy Nteka,ANG,Forward (FW),Rayo Vallecano,26,24,1129,3,0,6,0,"2,6","0,5","0,24",0,"0,21","0,04"
Unai Núñez,ESP,Defender (DF),Athletic Club,27,10,645,0,0,4,0,"0,2","0,1",0,0,"0,03","0,01"
Ørjan Nyland,NOR,Goalkeeper (GK),Sevilla,33,30,2673,0,0,2,0,0,"0,3",0,0,0,"0,01"
Allan Nyom,CMR,Defender (DF),Getafe,36,20,887,1,2,4,0,"0,5","0,3","0,1","0,2","0,05","0,03"
Jan Oblak,SVN,Goalkeeper (GK),Atlético Madrid,31,36,3240,0,0,0,0,0,0,0,0,0,0
Lucas Ocampos,ARG,Forward (FW),Sevilla,30,2,175,0,1,0,0,"0,2","0,3",0,"0,51","0,08","0,17"
Álvaro Odriozola,ESP,Defender (DF),Real Sociedad,28,2,43,0,0,1,0,0,0,0,0,0,0
Thiago Ojeda,ARG,Midfielder (MF),Villarreal,21,1,8,0,0,1,0,0,0,0,0,"0,12",0
Aingeru Olabarrieta,ESP,Forward (FW),Athletic Club,18,1,54,0,0,0,0,0,0,0,0,0,0
Olasagasti,ESP,Midfielder (MF),Real Sociedad,23,22,857,1,1,2,0,"0,9","0,8","0,11","0,11","0,1","0,08"
Brian Oliván,ESP,Defender (DF),Espanyol,30,17,1017,0,1,2,0,"0,4","1,1",0,"0,09","0,03","0,1"
Lucas Oliveira Rosa,BRA,Defender (DF),Valladolid,24,21,1890,0,1,6,0,"0,9",2,0,"0,05","0,04","0,09"
Dani Olmo,ESP,Midfielder (MF),Barcelona,26,25,1212,10,3,1,0,"6,5",3,"0,74","0,22","0,48","0,22"
Aimar Oroz,ESP,Midfielder (MF),Osasuna,22,37,2966,5,4,8,0,"4,2","2,9","0,15","0,12","0,13","0,09"
Ángel Ortíz,ESP,Defender (DF),Betis,20,5,353,0,1,0,0,0,"0,1",0,"0,25","0,01","0,03"
Gabriel Osei Misehouy,NED,Forward (FW),Girona,19,9,257,1,0,0,0,"0,9","0,3","0,35",0,"0,31","0,09"
David Otorbi,ESP,Midfielder (MF),Valencia,16,1,14,0,0,0,0,0,0,0,0,0,0
Jesús Owono,EQG,Goalkeeper (GK),Alavés,23,6,487,0,0,0,0,0,0,0,0,0,0
Mikel Oyarzabal,ESP,Forward (FW),Real Sociedad,27,35,2250,9,3,4,1,"9,9","2,4","0,36","0,12","0,4","0,1"
Cenk Özkacar,TUR,Defender (DF),Valladolid,23,11,757,0,0,1,0,"0,1",0,0,0,"0,01",0
Jon Pacheco,ESP,Defender (DF),Real Sociedad,23,14,854,0,0,3,0,"0,1","0,1",0,0,"0,01","0,01"
Alex Padilla,ESP,Goalkeeper (GK),Athletic Club,20,5,321,0,0,0,0,0,0,0,0,0,0
Isaac Palazón Camacho,ESP,Midfielder (MF),Rayo Vallecano,29,35,2162,4,4,5,0,"4,7","4,4","0,17","0,17","0,2","0,18"
Aitor Paredes,ESP,Defender (DF),Athletic Club,24,23,1812,3,0,4,1,"2,3","0,1","0,15",0,"0,11",0
Daniel Parejo,ESP,Midfielder (MF),Villarreal,35,36,2273,3,3,8,0,"2,5","1,8","0,12","0,12","0,1","0,07"
Iago Parente,ESP,Defender (DF),Valladolid,18,1,71,0,0,0,0,0,0,0,0,0,"0,04"
Álvaro Pascual,ESP,Forward (FW),Sevilla,22,8,408,1,0,1,0,"1,1",0,"0,22",0,"0,24","0,01"
Alfonso Pedraza,ESP,Defender (DF),Villarreal,28,12,460,0,2,0,0,"0,5","1,4",0,"0,39","0,09","0,27"
Pedri,ESP,Midfielder (MF),Barcelona,21,37,2879,4,5,3,0,"2,2","7,4","0,13","0,16","0,07","0,23"
Adrià Pedrosa,ESP,Defender (DF),Sevilla,26,31,2298,1,1,7,0,"0,9","1,6","0,04","0,04","0,04","0,06"
Pejiño,ESP,Forward (FW),Las Palmas,28,1,16,0,0,0,0,0,0,0,0,"0,17",0
Andy Pelmard,FRA,Defender (DF),Las Palmas,24,4,205,0,0,1,0,0,0,0,0,0,"0,02"
Iñaki Peña,ESP,Goalkeeper (GK),Barcelona,25,16,1396,0,0,1,0,0,0,0,0,0,0
Rubén Peña,ESP,Forward (FW),Osasuna,33,25,775,0,0,1,0,"0,7","0,6",0,0,"0,08","0,07"
Nicolas Pépé,CIV,Forward (FW),Villarreal,29,28,1500,3,6,3,0,"3,8","4,8","0,18","0,36","0,23","0,29"
Peque,ESP,Midfielder (MF),Sevilla,21,26,1134,1,1,1,0,"2,5","1,2","0,08","0,08","0,2","0,1"
Ayoze Pérez,ESP,Forward (FW),Villarreal,31,30,1970,19,2,4,0,"12,7",3,"0,87","0,09","0,58","0,13"
Carles Pérez,ESP,Midfielder (MF),Getafe,26,27,1431,3,0,2,0,"2,4","1,5","0,19",0,"0,15","0,1"
Francisco Perez,ESP,Forward (FW),Valencia,21,26,570,0,0,1,0,"0,3","2,6",0,0,"0,05","0,4"
Kike Pérez,ESP,Midfielder (MF),Valladolid,27,19,1191,2,0,6,0,"2,1",1,"0,15",0,"0,16","0,08"
Luis Pérez,ESP,Defender (DF),Valladolid,29,30,2558,0,0,2,0,"0,2","2,1",0,0,"0,01","0,07"
Romain Perraud,FRA,Defender (DF),Betis,26,28,2002,2,2,8,1,"0,6","1,6","0,09","0,09","0,02","0,07"
Valentín Pezzolesi,ESP,Defender (DF),Las Palmas,17,1,6,0,0,0,0,0,0,0,0,0,0
Pica,ESP,Defender (DF),Alavés,22,9,499,0,0,1,0,"0,3",0,0,0,"0,06","0,01"
Yeremi Pino,ESP,Midfielder (MF),Villarreal,21,34,1934,4,7,11,0,"3,9","5,3","0,19","0,33","0,18","0,25"
Portu,ESP,Forward (FW),Girona,32,27,779,1,2,4,0,"1,6","1,7","0,12","0,23","0,19","0,19"
Beñat Prados,ESP,Midfielder (MF),Athletic Club,23,30,1715,1,0,7,0,1,"1,1","0,05",0,"0,05","0,06"
Abdón Prats,ESP,Forward (FW),Mallorca,31,24,456,2,0,4,0,"2,2","0,1","0,39",0,"0,45","0,03"
Javi Puado,ESP,Forward (FW),Espanyol,26,35,2974,12,4,8,0,"11,6",3,"0,36","0,12","0,35","0,09"
Dani Raba,ESP,Forward (FW),Leganés,28,29,1879,8,6,6,0,"7,5","5,3","0,38","0,29","0,36","0,25"
Arnau Rafús,ESP,Goalkeeper (GK),Valladolid,21,1,90,0,0,0,0,0,0,0,0,0,0
Antonio Raillo,ESP,Defender (DF),Mallorca,32,36,3207,2,0,7,1,2,"1,6","0,06",0,"0,06","0,05"
Benito Ramírez,ESP,Defender (DF),Las Palmas,29,19,478,0,0,2,1,"0,3","0,9",0,0,"0,06","0,16"
Sandro Ramírez,ESP,Forward (FW),Las Palmas,29,31,2034,9,3,6,0,"4,1","3,4","0,4","0,13","0,18","0,15"
Jacobo Ramón,ESP,Defender (DF),Real Madrid,19,3,204,1,0,1,0,"0,2","0,2","0,44",0,"0,07","0,09"
Raphinha,BRA,Forward (FW),Barcelona,27,36,2839,18,9,4,0,"19,2","12,7","0,57","0,29","0,61","0,4"
Andrei Ratiu,ROU,Defender (DF),Rayo Vallecano,26,35,3065,2,3,5,0,"1,8","5,7","0,06","0,09","0,05","0,17"
Raúl,ESP,Forward (FW),Osasuna,23,32,750,4,0,1,0,"3,5","0,7","0,48",0,"0,41","0,08"
Abderrahman Rebbach,ALG,Forward (FW),Alavés,25,8,385,0,0,1,0,"0,2","0,3",0,0,"0,04","0,07"
Álex Remiro,ESP,Goalkeeper (GK),Real Sociedad,29,36,3240,0,0,0,0,0,0,0,0,0,0
Daniel Requena,ESP,Midfielder (MF),Villarreal,20,1,10,0,0,0,0,0,0,0,0,0,0
Diego Rico,ESP,Defender (DF),Getafe,31,33,2819,0,3,9,1,"0,4","2,7",0,"0,1","0,01","0,09"
Luis Rioja,ESP,Forward (FW),Alavés,30,1,23,0,0,0,0,0,"0,1",0,0,0,"0,57"
Luis Rioja,ESP,Forward (FW),Valencia,30,36,2831,5,3,6,0,"3,3","4,5","0,16","0,1","0,1","0,14"
